Lineage,Label
AY.1,Delta
AY.10,Delta
AY.100,Delta
AY.101,Delta
AY.102,Delta
AY.103,Delta
AY.103.1,Delta
AY.104,Delta
AY.105,Delta
AY.106,Delta
AY.107,Delta
AY.108,Delta
AY.109,Delta
AY.11,Delta
AY.110,Delta
AY.111,Delta
AY.112,Delta
AY.112.1,Delta
AY.112.2,Delta
AY.112.3,Delta
AY.113,Delta
AY.114,Delta
AY.116,Delta
AY.116.1,Delta
AY.117,Delta
AY.118,Delta
AY.119,Delta
AY.119.1,Delta
AY.119.2,Delta
AY.120,Delta
AY.120.1,Delta
AY.120.2,Delta
AY.120.2.1,Delta
AY.121,Delta
AY.121.1,Delta
AY.122,Delta
AY.122.1,Delta
AY.122.2,Delta
AY.122.3,Delta
AY.122.4,Delta
AY.122.5,Delta
AY.122.6,Delta
AY.123,Delta
AY.123.1,Delta
AY.124,Delta
AY.124.1,Delta
AY.124.1.1,Delta
AY.125,Delta
AY.125.1,Delta
AY.126,Delta
AY.127,Delta
AY.127.1,Delta
AY.128,Delta
AY.129,Delta
AY.13,Delta
AY.130,Delta
AY.131,Delta
AY.132,Delta
AY.133,Delta
AY.134,Delta
AY.14,Delta
AY.15,Delta
AY.16,Delta
AY.16.1,Delta
AY.17,Delta
AY.19,Delta
AY.2,Delta
AY.20,Delta
AY.20.1,Delta
AY.21,Delta
AY.22,Delta
AY.23,Delta
AY.23.1,Delta
AY.23.2,Delta
AY.24,Delta
AY.24.1,Delta
AY.25,Delta
AY.25.1,Delta
AY.25.1.1,Delta
AY.25.1.2,Delta
AY.25.2,Delta
AY.25.3,Delta
AY.26,Delta
AY.26.1,Delta
AY.27,Delta
AY.28,Delta
AY.29,Delta
AY.29.1,Delta
AY.29.2,Delta
AY.3,Delta
AY.3.1,Delta
AY.3.3,Delta
AY.3.4,Delta
AY.30,Delta
AY.31,Delta
AY.32,Delta
AY.33,Delta
AY.33.1,Delta
AY.33.2,Delta
AY.34,Delta
AY.34.1,Delta
AY.34.1.1,Delta
AY.34.2,Delta
AY.35,Delta
AY.36,Delta
AY.36.1,Delta
AY.37,Delta
AY.38,Delta
AY.39,Delta
AY.39.1,Delta
AY.39.1.1,Delta
AY.39.1.2,Delta
AY.39.1.3,Delta
AY.39.1.4,Delta
AY.39.2,Delta
AY.39.3,Delta
AY.4,Delta
AY.4.1,Delta
AY.4.10,Delta
AY.4.11,Delta
AY.4.12,Delta
AY.4.13,Delta
AY.4.14,Delta
AY.4.15,Delta
AY.4.16,Delta
AY.4.17,Delta
AY.4.2,Delta
AY.4.2.1,Delta
AY.4.2.2,Delta
AY.4.2.3,Delta
AY.4.2.4,Delta
AY.4.2.5,Delta
AY.4.3,Delta
AY.4.4,Delta
AY.4.5,Delta
AY.4.6,Delta
AY.4.7,Delta
AY.4.8,Delta
AY.4.9,Delta
AY.41,Delta
AY.42,Delta
